DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"				ACE							chr17:61538148-A	chr17:61538148					0.018	3.00E-07	6.522878745		1.34	[1.20-1.50]	"Illumina [7,055,881] (Imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	14q32.12	14	92460608	"RIN3, SLC24A4"	SLC24A4			123041			rs10498633-G	rs10498633	0	10498633	intron	0	0.783	6.00E-09	8.22184875		1.0989	[1.06-1.14]	"Illumina [7,055,881] (Imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	11p15.5	11	941941	AP2A2	AP2A2			161			rs10751667-T	rs10751667	0	10751667	intron	0	0.634	6.00E-07	6.22184875		1.0753	[1.04-1.1]	"Illumina [7,055,881] (Imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	11q14.2	11	86156833	PICALM	PICALM - FNTAP1	8301	283226		86952	38298	rs10792832-G	rs10792832	0	10792832	intergenic	1	0.642	9.00E-26	25.04575749		1.1494	[1.12-1.18]	"Illumina [7,055,881] (Imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	11p11.2	11	47536319	CELF1	CELF1			10658			rs10838725-C	rs10838725	0	10838725	intron	0	0.316	1.00E-08	8		1.08	[1.05-1.11]	"Illumina [7,055,881] (Imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	6p12.3	6	47520026	CD2AP	CD2AP			23607			rs10948363-G	rs10948363	0	10948363	intron	0	0.266	5.00E-11	10.30103		1.1	[1.07-1.13]	"Illumina [7,055,881] (Imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	11q24.1	11	121564878	SORL1	SORL1			6653			rs11218343-T	rs11218343	0	11218343	intron	0	0.961	1.00E-14	14		1.2987	[1.22-1.39]	"Illumina [7,055,881] (Imputed)"	N
12-Jul-13	23565137	Miyashita A	2-Apr-13	PLoS One	http://europepmc.org/abstract/MED/23565137	"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians."	Alzheimer's disease (late onset)	"891 Japanese ancestry cases, 844 Japanese ancestry controls"	"1,224 East Asian ancestry cases, 2,114 East Asian ancestry controls, 11,840 European ancestry cases, 10,931 European ancestry controls"	11q24.1	11	121564878	SORL1	SORL1			6653			rs11218343-?	rs11218343	0	11218343	intron	0	0.96	2.00E-09	8.698970004		1.23	[1.15-1.33]	"Affymetrix [5,877,918] (Imputed)"	N
24-Aug-13	23571587	Reitz C	10-Apr-13	JAMA	http://europepmc.org/abstract/MED/23571587	"Variants in the ATP-binding cassette transporter (ABCA7), apolipoprotein E &#x000cf;&#x000b5;4,and the risk of late-onset Alzheimer disease in African Americans."	Alzheimer's disease (late onset)	"1,968 African American cases, 3,928 African American controls"		19p13.3	19	1050421	"GRIN3B, HMHA1, ABCA7"	ABCA7			10347			rs115550680-G	rs115550680	0	115550680	intron	0	0.07	2.00E-09	8.698970004		1.79	[1.47-2.12]	"Illumina [17,332,474] (Imputed)"	N
14-Oct-10	20885792	Naj AC	23-Sep-10	PLoS Genet	http://europepmc.org/abstract/MED/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	"931 cases, 1,104 controls"	"1,338 cases, 2,003 controls"	6q25.1	6	150885942	MTHFD1L	MTHFD1L			25902			rs11754661-A	rs11754661	0	11754661	intron	0	0.07	2.00E-10	9.698970004		2.1	[1.67-2.64]	"Illumina [483,399]"	N
